Transaction_ID,Date,Origin_Facility,Destination_City,Vehicle_Type,Route_Type,Distance_KM,Package_Weight_KG,Traffic_Conditions,Carbon_Emission_kgCO2e,Is_Eco_Friendly,Vehicle_Standard,Type,CO2_Intensity_g_km,Traffic_Score,Distance_Cat,Weight_Cat
TRX-F775953B,2025-02-18,Jakarta Fulfillment Center,Waynehaven,Electric Van (EV),Mixed Route,80.4,15.6,Normal,4.1,1,Electric Van,Electric,50.99502487562189,2,Suburban 50-100km,Medium 5-20kg
TRX-B4C50003,2025-09-11,Jakarta Fulfillment Center,East Patriciaside,Diesel Van (Euro 6),Mixed Route,135.3,18.8,Low,23.13,0,Thermal Van,Thermal,170.95343680709533,1,Long-Haul >100km,Medium 5-20kg
TRX-F7C71F39,2025-06-15,Semarang Depot,Pottershire,Drone Delivery,Urban Last Mile,9.0,25.4,Normal,0.091,1,Drone,Electric,10.11111111111111,2,Urban <10km,Heavy 20-100kg
TRX-A60E6AAA,2025-06-23,Semarang Depot,North Christina,Drone Delivery,Urban Last Mile,11.8,13.5,High,0.101,1,Drone,Electric,8.559322033898304,3,Urban 10-50km,Medium 5-20kg
TRX-D0CFAF87,2025-02-15,Jakarta Fulfillment Center,Lisamouth,Heavy Truck,Inter-City,156.5,1792.6,Normal,128.004,0,Thermal Truck,Thermal,817.9169329073482,2,Long-Haul >100km,
TRX-6DA9DF97,2025-01-07,Jakarta Fulfillment Center,Sheltonborough,Motorcycle (Courier),Inter-District,5.4,26.8,High,0.715,0,Thermal Scooter,Thermal,132.4074074074074,3,Urban <10km,Heavy 20-100kg
TRX-67089DC7,2025-06-06,Semarang Depot,Michaelstad,Cargo Bicycle,Urban Last Mile,5.4,12.2,Low,0.0,1,Electric Bike,Electric,0.0,1,Urban <10km,Medium 5-20kg
TRX-35639C2B,2025-11-11,Surabaya Warehouse,Keyhaven,Electric Van (EV),Mixed Route,122.7,30.0,Normal,5.623,1,Electric Van,Electric,45.82722086389568,2,Long-Haul >100km,Heavy 20-100kg
TRX-2AD3A098,2025-09-07,Medan Distribution,Lake Matthewside,Cargo Bicycle,Urban Last Mile,2.1,10.5,High,0.0,1,Electric Bike,Electric,0.0,3,Urban <10km,Medium 5-20kg
TRX-B1372202,2025-07-30,Medan Distribution,Keithberg,Heavy Truck,Inter-City,304.5,2558.5,High,349.98,0,Thermal Truck,Thermal,1149.35960591133,3,Long-Haul >100km,
TRX-E5500935,2025-12-09,Makassar Port,Angelstad,Cargo Bicycle,Urban Last Mile,11.0,9.6,Normal,0.0,1,Electric Bike,Electric,0.0,2,Urban 10-50km,Medium 5-20kg
TRX-30C1665B,2025-05-24,Makassar Port,Hendersonfurt,Electric Van (EV),Mixed Route,60.9,13.0,High,3.136,1,Electric Van,Electric,51.49425287356322,3,Suburban 50-100km,Medium 5-20kg
TRX-2027647B,2025-12-15,Semarang Depot,Camachochester,Heavy Truck,Inter-City,488.1,4402.5,High,605.328,0,Thermal Truck,Thermal,1240.1720958819913,3,Long-Haul >100km,
TRX-05C24316,2025-07-18,Semarang Depot,Sandershaven,Heavy Truck,Inter-City,661.8,4400.4,Normal,686.441,0,Thermal Truck,Thermal,1037.233303112723,2,,
